"species" "myoglobin"
"Weddell" 41.57
"Weddell" 45.57
"Weddell" 39.38
"Weddell" 43.06
"Weddell" 55.68
"Weddell" 66.08
"Weddell" 56.01
"Weddell" 47.04
"Weddell" 51.48
"Weddell" 50.88
"Weddell" 53.37
"Weddell" 35.27
"Weddell" 45.25
"Weddell" 38.35
"Weddell" 50.47
"Weddell" 49.38
"Weddell" 41.64
"Weddell" 41.48
"Weddell" 45.79
"Weddell" 48.08
"Weddell" 57.29
"Weddell" 61.16
"Weddell" 48.84
"Weddell" 62.21
"Weddell" 37.99
"Weddell" 40.57
"Weddell" 67.26
"Weddell" 48.45
"Bladdernose" 46.29
"Bladdernose" 29.83
"Bladdernose" 52.5
"Bladdernose" 37.37
"Bladdernose" 42.81
"Bladdernose" 51.35
"Bladdernose" 48.51
"Bladdernose" 44.02
"Bladdernose" 58
"Bladdernose" 45.42
"Bladdernose" 37.11
"Bladdernose" 39.27
"Bladdernose" 45.15
"Bladdernose" 51.14
"Bladdernose" 38.13
"Bladdernose" 36.48
"Bladdernose" 49.42
"Bladdernose" 61.95
"Bladdernose" 45.74
"Bladdernose" 56.97
"Bladdernose" 42.65
"Bladdernose" 40.03
"Bladdernose" 31.92
"Bladdernose" 42.74
"Bladdernose" 46.02
"Bladdernose" 39.02
"Bladdernose" 50.06
"Bladdernose" 34.42
"Harbour" 37.77
"Harbour" 42.75
"Harbour" 27.01
"Harbour" 43.1
"Harbour" 42.38
"Harbour" 29.86
"Harbour" 42.26
"Harbour" 58.14
"Harbour" 32.23
"Harbour" 38.39
"Harbour" 52.57
"Harbour" 53.92
"Harbour" 42.3
"Harbour" 46.41
"Harbour" 44.57
"Harbour" 48.97
"Harbour" 40.17
"Harbour" 41.37
"Harbour" 38.65
"Harbour" 35.1
"Harbour" 48.23
"Harbour" 33.17
"Harbour" 38.42
"Harbour" 26.01
"Harbour" 50.01
"Harbour" 42.63
"Harbour" 46.97
"Harbour" 41.57
