para season species
58 Spring "Littorina saxatilis"
51 Spring "Littorina saxatilis"
54 Spring "Littorina saxatilis"
39 Spring "Littorina saxatilis"
65 Spring "Littorina saxatilis"
67 Spring "Littorina saxatilis"
60 Spring "Littorina saxatilis"
54 Spring "Littorina saxatilis"
47 Spring "Littorina saxatilis"
66 Spring "Littorina saxatilis"
51 Spring "Littorina saxatilis"
43 Spring "Littorina saxatilis"
62 Spring "Littorina saxatilis"
55 Spring "Littorina saxatilis"
58 Spring "Littorina saxatilis"
43 Spring "Littorina saxatilis"
69 Spring "Littorina saxatilis"
71 Spring "Littorina saxatilis"
64 Spring "Littorina saxatilis"
58 Spring "Littorina saxatilis"
51 Spring "Littorina saxatilis"
70 Spring "Littorina saxatilis"
55 Spring "Littorina saxatilis"
47 Spring "Littorina saxatilis"
54 Spring "Littorina saxatilis"
43 Spring "Littorina nigrolineata"
63 Spring "Littorina nigrolineata"
58 Spring "Littorina nigrolineata"
61 Spring "Littorina nigrolineata"
63 Spring "Littorina nigrolineata"
45 Spring "Littorina nigrolineata"
45 Spring "Littorina nigrolineata"
77 Spring "Littorina nigrolineata"
57 Spring "Littorina nigrolineata"
49 Spring "Littorina nigrolineata"
72 Spring "Littorina nigrolineata"
47 Spring "Littorina nigrolineata"
78 Spring "Littorina nigrolineata"
77 Spring "Littorina nigrolineata"
71 Spring "Littorina nigrolineata"
69 Spring "Littorina nigrolineata"
66 Spring "Littorina nigrolineata"
76 Spring "Littorina nigrolineata"
75 Spring "Littorina nigrolineata"
54 Spring "Littorina nigrolineata"
62 Spring "Littorina nigrolineata"
58 Spring "Littorina nigrolineata"
76 Spring "Littorina nigrolineata"
68 Spring "Littorina nigrolineata"
84 Spring "Littorina nigrolineata"
61 Summer "Littorina saxatilis"
70 Summer "Littorina saxatilis"
68 Summer "Littorina saxatilis"
67 Summer "Littorina saxatilis"
88 Summer "Littorina saxatilis"
64 Summer "Littorina saxatilis"
69 Summer "Littorina saxatilis"
70 Summer "Littorina saxatilis"
56 Summer "Littorina saxatilis"
80 Summer "Littorina saxatilis"
80 Summer "Littorina saxatilis"
53 Summer "Littorina saxatilis"
56 Summer "Littorina saxatilis"
101 Summer "Littorina saxatilis"
81 Summer "Littorina saxatilis"
88 Summer "Littorina saxatilis"
67 Summer "Littorina saxatilis"
73 Summer "Littorina saxatilis"
75 Summer "Littorina saxatilis"
74 Summer "Littorina saxatilis"
68 Summer "Littorina saxatilis"
89 Summer "Littorina saxatilis"
75 Summer "Littorina saxatilis"
74 Summer "Littorina saxatilis"
76 Summer "Littorina saxatilis"
66 Summer "Littorina nigrolineata"
61 Summer "Littorina nigrolineata"
51 Summer "Littorina nigrolineata"
67 Summer "Littorina nigrolineata"
78 Summer "Littorina nigrolineata"
79 Summer "Littorina nigrolineata"
69 Summer "Littorina nigrolineata"
76 Summer "Littorina nigrolineata"
86 Summer "Littorina nigrolineata"
97 Summer "Littorina nigrolineata"
64 Summer "Littorina nigrolineata"
68 Summer "Littorina nigrolineata"
65 Summer "Littorina nigrolineata"
49 Summer "Littorina nigrolineata"
62 Summer "Littorina nigrolineata"
57 Summer "Littorina nigrolineata"
70 Summer "Littorina nigrolineata"
62 Summer "Littorina nigrolineata"
80 Summer "Littorina nigrolineata"
81 Summer "Littorina nigrolineata"
85 Summer "Littorina nigrolineata"
77 Summer "Littorina nigrolineata"
61 Summer "Littorina nigrolineata"
59 Summer "Littorina nigrolineata"
66 Summer "Littorina nigrolineata"
