Some plant biotechnologists are trying to increase the quantity of omega 3 fatty acids
in Cannabis sativa. They have developed a genetically modified line using genes 
from Linum usitatissimum (linseed). They grow 50 wild type and fifty modified plants
to maturity, collect the seeds and determine the amount of omega 3 fatty acids
omega plant
48.5 modif
43.61 modif
51.22 modif
56.38 modif
55.99 modif
58.67 modif
39.08 modif
48.83 modif
55.48 modif
44.57 modif
46.55 modif
41.55 modif
40.77 modif
45.11 modif
46.13 modif
39.41 modif
47.16 modif
47.98 modif
50.67 modif
48.17 modif
48.37 modif
48.15 modif
56.71 modif
49.57 modif
49.07 modif
47.43 modif
59.86 modif
54.33 modif
61.88 modif
46.73 modif
58.31 modif
41.94 modif
52.69 modif
54.51 modif
59.59 modif
49.58 modif
47.38 modif
53.38 modif
48.09 modif
53.79 modif
42.78 modif
45.76 modif
42.39 modif
48.19 modif
49.84 modif
50.14 modif
48.39 modif
60.97 modif
41.29 modif
46.32 modif
58.5 wild
55.45 wild
58.73 wild
67.66 wild
41.41 wild
47.97 wild
64.52 wild
52.23 wild
54.19 wild
40.54 wild
59.13 wild
68.45 wild
47.91 wild
60.49 wild
63.05 wild
57.55 wild
57.98 wild
70.19 wild
67.14 wild
52.71 wild
60.25 wild
42.53 wild
60.2 wild
53.82 wild
45.38 wild
53.25 wild
63.27 wild
45.27 wild
65.28 wild
61.9 wild
49.24 wild
73.33 wild
70.3 wild
56.33 wild
56.02 wild
53.48 wild
63.62 wild
45.86 wild
54.55 wild
54.61 wild
50.86 wild
58.16 wild
54.48 wild
56.6 wild
54.09 wild
53.51 wild
56.89 wild
46.02 wild
50.02 wild
65.67 wild
