rmsd prog prot
9.038 Abstruct 1
14.952 Abstruct 2
17.734 Abstruct 3
3.117 Abstruct 4
11.284 Abstruct 5
12.761 Abstruct 6
9.759 Abstruct 7
9.715 Abstruct 8
0.684 Abstruct 9
8.498 Abstruct 10
6.666 Abstruct 11
8.937 Abstruct 12
0.353 Abstruct 13
6.779 Abstruct 14
12.546 Abstruct 15
12.994 Abstruct 16
7.92 Abstruct 17
13.997 Abstruct 18
7.201 Abstruct 19
8.745 Abstruct 20
8.103 Abstruct 21
8.673 Abstruct 22
6.756 Abstruct 23
9.313 Abstruct 24
1.768 Abstruct 25
14.889 Abstruct 26
8.323 Abstruct 27
1.605 Abstruct 28
4.569 Abstruct 29
12.756 Abstruct 30
7.952 Predicto 1
5.373 Predicto 2
9.658 Predicto 3
2.307 Predicto 4
6.561 Predicto 5
3.599 Predicto 6
11.158 Predicto 7
12.462 Predicto 8
3.564 Predicto 9
7.728 Predicto 10
8.057 Predicto 11
6.663 Predicto 12
1.61 Predicto 13
4.398 Predicto 14
10.002 Predicto 15
9.244 Predicto 16
8.617 Predicto 17
11.062 Predicto 18
12.087 Predicto 19
8.202 Predicto 20
5.395 Predicto 21
2.463 Predicto 22
1.675 Predicto 23
8.924 Predicto 24
10.058 Predicto 25
8.287 Predicto 26
5.549 Predicto 27
11.216 Predicto 28
3.519 Predicto 29
8.151 Predicto 30
5.283 Structomeister 1
2.097 Structomeister 2
0.762 Structomeister 3
4.637 Structomeister 4
4.213 Structomeister 5
8.379 Structomeister 6
0.974 Structomeister 7
0.86 Structomeister 8
3.516 Structomeister 9
1.523 Structomeister 10
8.492 Structomeister 11
5.309 Structomeister 12
0.08 Structomeister 13
8.972 Structomeister 14
13.805 Structomeister 15
5.719 Structomeister 16
11.593 Structomeister 17
5.756 Structomeister 18
5.634 Structomeister 19
13.68 Structomeister 20
2.454 Structomeister 21
4.314 Structomeister 22
12.343 Structomeister 23
1.854 Structomeister 24
4.807 Structomeister 25
9.809 Structomeister 26
5.519 Structomeister 27
5.802 Structomeister 28
7.897 Structomeister 29
5.072 Structomeister 30
