"population" "distance"
"1" "A" 12.4
"2" "A" 11.2
"3" "A" 11.6
"4" "A" 12.3
"5" "A" 11.8
"6" "A" 10.7
"7" "A" 11.3
"8" "A" 11.6
"9" "A" 12.3
"10" "A" 10.5
"11" "A" 12.1
"12" "A" 10.4
"13" "A" 10.8
"14" "A" 11.9
"15" "A" 10.9
"16" "A" 10.8
"17" "A" 10.4
"18" "A" 12
"19" "A" 11.7
"20" "A" 11.3
"21" "A" 11.5
"22" "A" 11.8
"23" "A" 10.3
"24" "A" 10.3
"25" "A" 11.5
"26" "A" 10.7
"27" "A" 11.3
"28" "A" 11.6
"29" "A" 13.3
"30" "A" 10.7
"31" "A" 12.1
"32" "A" 10.2
"33" "A" 10.8
"34" "A" 11.4
"35" "A" 10.9
"36" "A" 10.3
"37" "A" 10.4
"38" "A" 10
"39" "A" 11.2
"40" "A" 11.3
"41" "B" 12.6
"42" "B" 11.3
"43" "B" 12.1
"44" "B" 12.2
"45" "B" 11.8
"46" "B" 11.5
"47" "B" 11.2
"48" "B" 11.9
"49" "B" 11.2
"50" "B" 12.1
"51" "B" 11.9
"52" "B" 10.7
"53" "B" 11
"54" "B" 12.2
"55" "B" 12.6
"56" "B" 11.6
"57" "B" 10.7
"58" "B" 12.4
"59" "B" 11.8
"60" "B" 11.1
"61" "B" 12.9
"62" "B" 11.9
"63" "B" 11.1
"64" "B" 12.2
"65" "B" 11.8
"66" "B" 11.5
"67" "B" 11.2
"68" "B" 11.9
"69" "B" 11.2
"70" "B" 11.1
"71" "B" 11.6
"72" "B" 12.7
"73" "B" 11
"74" "B" 12.2
"75" "B" 11.3
"76" "B" 11.6
"77" "B" 12.2
"78" "B" 12.4
"79" "B" 11.3
"80" "B" 11.1
