Timestamp,person,Please rate your expertise in R,Have you experience in any of the following programming languages. Tick all that apply.,Please rate your expertise in the non-R language you consider yourself most competent.,In what package/programme are you MOST likely to carry out data analysis and visualisation currently? ,In what package/programme are you MOST likely to write up analysis results to submit to a journal or similar?,"Please rate your level of comfort with the following in R [working directories, relative and absolute paths]",Please rate your level of comfort with the following in R [importing data in plain text files],Please rate your level of comfort with the following in R [importing data in almost any file format],Please rate your level of comfort with the following in R [importing data through APIs],Please rate your level of comfort with the following in R [reshaping data],Please rate your level of comfort with the following in R [summarising data],Please rate your level of comfort with the following in R [text processing column names and cell contents],Please rate your level of comfort with the following in R [plotting data],Please rate your level of comfort with the following in R [formatting figures for publication],Please rate your level of comfort with the following in R [the tidyverse],Please rate your level of comfort with the following in R [the pipe %>%],"Please rate your level of comfort with the following in R [RMarkdown for blending text, analysis and figures]","Please rate your level of comfort with the following in R [More advanced RMarkdown features such as cross referenced tables, figures, citations and a wide variety of YAML options ]"
03/10/2020 11:58,p01,1,None,1,GraphPad Prism,Word/Pages/Writer/Googledocs,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 11:59,p02,1,None,1,GraphPad Prism,Word/Pages/Writer/Googledocs,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:00,p03,4,None,1,GraphPad Prism,Word/Pages/Writer/Googledocs,Not at all comfortable,A bit uncomfortable,A bit uncomfortable,A bit uncomfortable,A bit uncomfortable,A bit uncomfortable,A bit uncomfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:00,p04,3,None,1,None,R/R Markdown,Quite comfortable,A bit uncomfortable,Quite comfortable,Not at all comfortable,A bit uncomfortable,A bit uncomfortable,A bit uncomfortable,Quite comfortable,Not at all comfortable,A bit uncomfortable,Not at all comfortable,A bit uncomfortable,Not at all comfortable
03/10/2020 12:00,p05,4,None,1,Excel/Numbers/Calc/Googlesheets,Word/Pages/Writer/Googledocs,Not at all comfortable,Quite comfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Quite comfortable,Not at all comfortable,Quite comfortable,A bit uncomfortable,Not at all comfortable,Quite comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:01,p06,1,None,1,Excel/Numbers/Calc/Googlesheets,Word/Pages/Writer/Googledocs,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:01,p07,1,Python,3,Excel/Numbers/Calc/Googlesheets,Word/Pages/Writer/Googledocs,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:02,p08,7,None,1,R,Word/Pages/Writer/Googledocs,Quite comfortable,Completely comfortable,Quite comfortable,Not at all comfortable,A bit uncomfortable,Completely comfortable,A bit uncomfortable,Quite comfortable,Quite comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:02,p09,1,None,1,Excel/Numbers/Calc/Googlesheets,Word/Pages/Writer/Googledocs,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:03,p10,5,None,1,R,R/R Markdown,Quite comfortable,Completely comfortable,A bit uncomfortable,Not at all comfortable,Quite comfortable,A bit uncomfortable,Quite comfortable,Quite comfortable,Quite comfortable,Quite comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:06,p11,3,MATLAB,4,R,Word/Pages/Writer/Googledocs,A bit uncomfortable,Quite comfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,A bit uncomfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:06,p12,3,Python,3,Excel/Numbers/Calc/Googlesheets,Word/Pages/Writer/Googledocs,Quite comfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,A bit uncomfortable,A bit uncomfortable,Not at all comfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,A bit uncomfortable,A bit uncomfortable,Not at all comfortable
03/10/2020 12:09,p13,2,Python,3,Excel/Numbers/Calc/Googlesheets,Word/Pages/Writer/Googledocs,A bit uncomfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:14,p14,1,None,1,GraphPad Prism,Word/Pages/Writer/Googledocs,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Quite comfortable,Quite comfortable,Quite comfortable,Quite comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 12:22,p15,5,"Python, MATLAB, Latex",4,Excel/Numbers/Calc/Googlesheets,Word/Pages/Writer/Googledocs,Quite comfortable,Quite comfortable,Quite comfortable,A bit uncomfortable,A bit uncomfortable,Quite comfortable,A bit uncomfortable,Quite comfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 14:12,p16,4,None,1,SPSS,Word/Pages/Writer/Googledocs,Completely comfortable,Completely comfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Quite comfortable,Quite comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 14:23,p17,1,None,1,SPSS,Word/Pages/Writer/Googledocs,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 14:44,p18,1,"MATLAB, bash",4,SPSS,LateX,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 15:24,p19,7,Python,4,R,Word/Pages/Writer/Googledocs,Completely comfortable,Completely comfortable,Completely comfortable,A bit uncomfortable,Quite comfortable,Quite comfortable,Completely comfortable,Completely comfortable,Quite comfortable,Completely comfortable,Completely comfortable,Quite comfortable,Not at all comfortable
03/10/2020 15:51,p20,2,None,1,SPSS,Word/Pages/Writer/Googledocs,A bit uncomfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 16:28,p21,2,"Python, MATLAB",8,Python,Word/Pages/Writer/Googledocs,Quite comfortable,Quite comfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Quite comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
03/10/2020 16:29,p22,2,Python,2,R,Word/Pages/Writer/Googledocs,A bit uncomfortable,A bit uncomfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,A bit uncomfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable
